District,Sector,Cell,Village,Activity,MIN,AVG,MAX
Gasabo,Bumbogo,,,,468,11872,36746
Gasabo,Bumbogo,Kinyaga,,,2065,13940,36746
Gasabo,Bumbogo,Kinyaga,Akakaza,,2555,6775,31052
Gasabo,Bumbogo,Kinyaga,Akakaza,FarmLand(General),2555,6009,31052
Gasabo,Bumbogo,Kinyaga,Akakaza,LowRiseResidential,5960,7540,16174
Gasabo,Bumbogo,Kinyaga,Karama,,17368,22733,36746
Gasabo,Bumbogo,Kinyaga,Karama,FarmLand(General),17368,22733,36746
Gasabo,Bumbogo,Kinyaga,Kayumba,,17368,20144,36746
Gasabo,Bumbogo,Kinyaga,Kayumba,FarmLand(General),17368,20144,36746
Gasabo,Bumbogo,Kinyaga,Masizi,,17368,22425,36746
Gasabo,Bumbogo,Kinyaga,Masizi,FarmLand(General),17368,22425,36746
Gasabo,Bumbogo,Kinyaga,Muhozi,,2065,11264,36746
Gasabo,Bumbogo,Kinyaga,Muhozi,FarmLand(General),2065,8506,32462
Gasabo,Bumbogo,Kinyaga,Muhozi,LowRiseResidential,3269,3776,6679
Gasabo,Bumbogo,Kinyaga,Muhozi,VacantLand,17368,21509,36746
Gasabo,Bumbogo,Kinyaga,Rindiro,,17368,21261,36746
Gasabo,Bumbogo,Kinyaga,Rindiro,FarmLand(General),17368,21261,36746
Gasabo,Bumbogo,Kinyaga,Rubungo,,2359,11734,33742
Gasabo,Bumbogo,Kinyaga,Rubungo,ExistingForest,4498,4954,8604
Gasabo,Bumbogo,Kinyaga,Rubungo,FarmLand(General),2359,12371,33742
Gasabo,Bumbogo,Kinyaga,Rubungo,LowRiseResidential,15359,17878,31051
Gasabo,Bumbogo,Kinyaga,Runyonza,,17368,18294,36746
Gasabo,Bumbogo,Kinyaga,Runyonza,FarmLand(General),17368,18294,36746
Gasabo,Bumbogo,Kinyaga,Ryakigogo,,4712,14160,36746
Gasabo,Bumbogo,Kinyaga,Ryakigogo,ExistingForest,17368,22462,36746
Gasabo,Bumbogo,Kinyaga,Ryakigogo,FarmLand(General),4712,9772,32352
Gasabo,Bumbogo,Kinyaga,Ryakigogo,LowRiseResidential,8804,10246,17910
Gasabo,Bumbogo,Kinyaga,Zindiro,,3638,12574,36746
Gasabo,Bumbogo,Kinyaga,Zindiro,ExistingForest,6084,8765,31194
Gasabo,Bumbogo,Kinyaga,Zindiro,FarmLand(General),3638,9791,31439
Gasabo,Bumbogo,Kinyaga,Zindiro,LowRiseResidential,5474,8987,30339
Gasabo,Bumbogo,Kinyaga,Zindiro,ReligiousFacilities,17368,22842,36746
Gasabo,Bumbogo,Kinyaga,Zindiro,VacantLand,10998,12482,21679
Gasabo,Bumbogo,Musave,,,1187,15236,36746
Gasabo,Bumbogo,Musave,Bushya,,17368,21974,36746
Gasabo,Bumbogo,Musave,Bushya,FarmLand(General),17368,21974,36746
Gasabo,Bumbogo,Musave,Kagarama,,1187,11883,36746
Gasabo,Bumbogo,Musave,Kagarama,FarmLand(General),1187,2248,23258
Gasabo,Bumbogo,Musave,Kagarama,LowRiseResidential,17368,21518,36746
Gasabo,Bumbogo,Musave,Karambo,,17368,20523,36746
Gasabo,Bumbogo,Musave,Karambo,FarmLand(General),17368,20523,36746
Gasabo,Bumbogo,Musave,Kayumba,,1859,12277,36746
Gasabo,Bumbogo,Musave,Kayumba,FarmLand(General),1859,6925,33063
Gasabo,Bumbogo,Musave,Kayumba,LowRiseResidential,17368,17629,36746
Gasabo,Bumbogo,Musave,Kira,,17368,19231,36746
Gasabo,Bumbogo,Musave,Kira,FarmLand(General),17368,19231,36746
Gasabo,Bumbogo,Musave,Ramba,,1471,15111,36746
Gasabo,Bumbogo,Musave,Ramba,ExistingForest,17368,22019,36746
Gasabo,Bumbogo,Musave,Ramba,FarmLand(General),1471,5796,31663
Gasabo,Bumbogo,Musave,Ramba,LowRiseResidential,15857,17517,31687
Gasabo,Bumbogo,Musave,Rebero,,1328,13275,36746
Gasabo,Bumbogo,Musave,Rebero,FarmLand(General),1328,4929,25586
Gasabo,Bumbogo,Musave,Rebero,LowRiseResidential,17368,21621,36746
Gasabo,Bumbogo,Musave,Rugando,,2016,13218,36746
Gasabo,Bumbogo,Musave,Rugando,FarmLand(General),2016,6543,29850
Gasabo,Bumbogo,Musave,Rugando,LowRiseResidential,17368,19894,36746
Gasabo,Bumbogo,Musave,Runyonza,,17368,20175,36746
Gasabo,Bumbogo,Musave,Runyonza,FarmLand(General),17368,20175,36746
Gasabo,Bumbogo,Mvuzo,,,628,8150,36746
Gasabo,Bumbogo,Mvuzo,Kidahe,,17368,21764,36746
Gasabo,Bumbogo,Mvuzo,Kidahe,Wetland,17368,21764,36746
Gasabo,Bumbogo,Mvuzo,Kigabiro,,1096,1826,5367
Gasabo,Bumbogo,Mvuzo,Kigabiro,ExistingForest,1873,2032,4636
Gasabo,Bumbogo,Mvuzo,Kigabiro,FarmLand(General),1096,1692,5367
Gasabo,Bumbogo,Mvuzo,Kigabiro,LowRiseResidential,1740,1754,4016
Gasabo,Bumbogo,Mvuzo,Kiyoro,,628,2053,5240
Gasabo,Bumbogo,Mvuzo,Kiyoro,ExistingForest,1695,2056,4160
Gasabo,Bumbogo,Mvuzo,Kiyoro,FarmLand(General),628,1958,5240
Gasabo,Bumbogo,Mvuzo,Kiyoro,Wetland,1768,2145,4944
Gasabo,Bumbogo,Mvuzo,Munini,,17368,22015,36746
Gasabo,Bumbogo,Mvuzo,Munini,ExistingForest,17368,22615,36746
Gasabo,Bumbogo,Mvuzo,Munini,FarmLand(General),17368,21415,36746
Gasabo,Bumbogo,Mvuzo,Murarambo,,879,1921,4925
Gasabo,Bumbogo,Mvuzo,Murarambo,ExistingForest,2266,2378,4925
Gasabo,Bumbogo,Mvuzo,Murarambo,FarmLand(General),879,1652,4922
Gasabo,Bumbogo,Mvuzo,Murarambo,LowRiseResidential,1689,1732,3471
Gasabo,Bumbogo,Mvuzo,Nkona,,945,2951,7237
Gasabo,Bumbogo,Mvuzo,Nkona,ExistingForest,1932,2439,4936
Gasabo,Bumbogo,Mvuzo,Nkona,FarmLand(General),945,2748,7237
Gasabo,Bumbogo,Mvuzo,Nkona,LowRiseResidential,3378,3668,6370
Gasabo,Bumbogo,Mvuzo,Nyakabingo,,894,6556,36746
Gasabo,Bumbogo,Mvuzo,Nyakabingo,ExistingForest,1766,1847,4914
Gasabo,Bumbogo,Mvuzo,Nyakabingo,FarmLand(General),894,2186,6412
Gasabo,Bumbogo,Mvuzo,Nyakabingo,LowRiseResidential,17368,20214,36746
Gasabo,Bumbogo,Mvuzo,Nyakabingo,Wetland,1890,1977,5910
Gasabo,Bumbogo,Mvuzo,Nyura,,17368,21944,36746
